Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type"">Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time"">Start Time</span>",Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count"">Jump Count</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit"">Total Grit</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow"">Avg Flow</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged"">Flagged</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_elapsed_speed"">Avg Elapsed Speed</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.dirt_distance"">Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_distance"">Newly Explored Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_dirt_distance"">Newly Explored Dirt Distance</span>"
2709529282,"Sep 15, 2019, 6:12:01 AM",Morning Run,Run,"Pri tomto tempe členky nebolia, trochu cítiť kolená. Treba vyskúšať barefoot.",2221,8.03,,,false,,activities/2709529282.gpx,,,2221.0,2202.0,8033.60009765625,8.800000190734863,,20.115007400512695,,214.3000030517578,225.0,11.5,-0.027384983375668526,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726509892,"Sep 21, 2019, 5:15:56 AM",Bojnice hillclimb,Run,,2049,6.94,,,false,,activities/2726509892.gpx,,,2049.0,2040.0,6945.10009765625,9.5,,119.53703308105469,,277.29998779296875,350.70001220703125,19.399999618530273,0.0043195923790335655,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,7256.7998046875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740550220,"Sep 26, 2019, 5:10:29 AM",Váh,Run,,3327,10.01,,,false,,activities/2740550220.gpx,,,3327.0,2908.0,10012.5,9.100000381469727,,26.089885711669922,,208.5,222.0,7.5,-0.06791510432958603,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,10068.900390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3120807917,"Feb 22, 2020, 6:03:48 AM",Wings for life - Training day 1 - Okružná,Run,"",716,2.66,,,false,,activities/3120807917.gpx,,,716.0,689.0,2660.199951171875,11.600000381469727,3.8609578609466553,24.311813354492188,24.611799240112305,237.1999969482422,256.5,11.0,-0.011277347803115845,,,,,,,,,,,,,,,,,,7.0,,,,,0.0,22.0,0.0,,1.0,2708.89990234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3123975719,"Feb 23, 2020, 6:48:48 AM",Wings for life - Training day 2 - Pathfinding,Run,,1688,5.01,,,false,,activities/3123975719.gpx,,,1688.0,1678.0,5016.2998046875,9.300000190734863,2.9894516468048096,129.40170288085938,129.501708984375,237.1999969482422,312.0,28.100000381469727,-0.001993501093238592,,,,,,,,,,,,,,,,,,7.0,,,,,0.0,53.0,0.0,,1.0,5582.2998046875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3129910387,"Feb 25, 2020, 6:41:12 AM",Wings for life - Day 4 - measuring,Ride,,909,4.55,,,false,,activities/3129910387.gpx,,,909.0,903.0,4558.2998046875,9.899999618530273,5.0479512214660645,2.3976190090179443,24.697620391845703,217.0,239.6999969482422,8.199999809265137,-0.48921746015548706,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3132897741,"Feb 26, 2020, 7:10:33 AM",Wings for life - Training day 5,Run,,1173,3.72,,,false,,activities/3132897741.gpx,,,1173.0,986.0,3719.89990234375,15.0,3.7727179527282715,2.418750047683716,23.418750762939453,218.3000030517578,239.6999969482422,3.9000000953674316,-0.5645313262939453,,,,,,,,,,,,,,,,,,6.0,,,,,0.0,26.0,0.0,,1.0,3688.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3140648144,"Feb 29, 2020, 7:31:56 AM",Wings for life - Training day 8,Run,,1020,4.05,,,false,,activities/3140648144.gpx,,,1020.0,932.0,4052.699951171875,19.5,4.348390579223633,52.2259521484375,52.22600173950195,237.1999969482422,281.20001220703125,23.5,0.0,,,,,,,,,,,,,,,,,,5.0,,,,,0.0,16.0,0.0,,1.0,4192.10009765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3143649409,"Mar 1, 2020, 5:54:02 AM",Wings for life - Training day 9,Run,"",1749,5.89,,,false,,activities/3143649409.gpx,,,1749.0,1743.0,5890.7998046875,11.0,3.379690170288086,66.05677032470703,66.45680236816406,223.89999389648438,275.0,19.0,-0.006790249142795801,,,,,,,,,,,,,,,,,,6.0,,,,,0.0,45.0,0.0,,1.0,6047.60009765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3155539546,"Mar 5, 2020, 6:26:50 AM",Wings for life - Training day 13,Run,"",1184,3.33,,,false,,activities/3155539546.gpx,,,1184.0,1126.0,3332.300048828125,7.699999809265137,2.959413766860962,67.68888092041016,67.78890228271484,237.1999969482422,299.3999938964844,49.5,-0.0030009301844984293,,,,,,,,,,,,,,,,,,4.0,,,,,0.0,12.0,0.0,,1.0,3568.10009765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3164186533,"Mar 8, 2020, 6:36:23 AM",Wings for life - Training day 16 - GPS broken 6km,Run,"",1685,5.02,,,false,,activities/3164186533.gpx,,,1685.0,1503.0,5024.2998046875,12.300000190734863,3.3428475856781006,25.907583236694336,28.807600021362305,223.89999389648438,254.10000610351562,16.0,-0.057719483971595764,,,,,,,,,,,,,,,,,,5.0,,,,,0.0,27.0,0.0,,1.0,5070.7001953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3184309333,"Mar 15, 2020, 5:04:37 AM",Príles Teplá,Run,,2935,10.01,,,false,,activities/3184309333.gpx,,,2935.0,2916.0,10010.599609375,16.700000762939453,3.432990312576294,40.240352630615234,39.84040069580078,217.60000610351562,239.6999969482422,9.0,0.003995764534920454,,,,,,,,,,,,,,,,,,6.0,,,,,0.0,76.0,0.0,,1.0,10079.900390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3196303129,"Mar 19, 2020, 5:02:11 AM",Wings for life - Training day xxx,Run,,685,2.35,,,false,,activities/3196303129.gpx,,,685.0,668.0,2349.0,15.199999809265137,3.5164670944213867,24.324121475219727,24.924100875854492,237.1999969482422,255.39999389648438,5.800000190734863,-0.025542784482240677,,,,,,,,,,,,,,,,,,8.0,,,,,0.0,28.0,0.0,,1.0,2387.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3306032704,"Apr 16, 2020, 8:59:18 AM",Opatová,Run,"Problémy s dýchaním (alergia)
Slabé ľavé stehno",1079,4.01,,,false,,activities/3306032704.gpx,,,1079.0,1079.0,4018.39990234375,14.600000381469727,3.724189043045044,2.0,10.800000190734863,213.89999389648438,223.39999389648438,1.399999976158142,-0.21899263560771942,,,,,,,,,,,,,,,,,,8.0,,,,,0.0,46.0,0.0,,1.0,4007.39990234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3344146115,"Apr 24, 2020, 3:58:22 AM",Morning Run,Run,,1005,3.58,,,false,,activities/3344146115.gpx,,,1005.0,1005.0,3582.699951171875,5.300000190734863,3.564875602722168,45.85333251953125,45.753299713134766,235.5,281.70001220703125,13.899999618530273,0.0027911909855902195,,,,,,,,,,,,,,,,,,7.0,,,,,0.0,32.0,0.0,,1.0,3674.89990234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3354044434,"Apr 26, 2020, 5:21:29 AM",Morning Run,Run,,2005,7.01,,,false,,activities/3354044434.gpx,,,2005.0,2005.0,7012.5,7.599999904632568,3.4975061416625977,10.683838844299316,26.583799362182617,219.1999969482422,239.10000610351562,4.699999809265137,-0.22673796117305756,,,,,,,,,,,,,,,,,,8.0,,,,,0.0,86.0,0.0,,1.0,6996.89990234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3373687990,"Apr 30, 2020, 4:10:00 AM",Morning Run,Run,,1945,7.00,,,false,,activities/3373687990.gpx,,,1945.0,1945.0,7006.0,5.199999809265137,3.6020565032958984,12.220210075378418,25.020200729370117,219.1999969482422,239.1999969482422,7.199999809265137,-0.18270054459571838,,,,,,,,,,,,,,,,,,7.0,,,,,0.0,62.0,0.0,,1.0,7002.39990234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3390976566,"May 3, 2020, 11:00:32 AM",Wings4Life,Run,"",6375,19.20,,,false,,,,,6375.0,6375.0,19200.0,,3.0117647647857666,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,8.0,,,,,0.0,274.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3469963233,"May 18, 2020, 5:32:35 AM",Morning Run,Run,,2449,8.37,,,false,,activities/3469963233.gpx,,,2449.0,2443.0,8378.900390625,6.0,3.4297585487365723,23.051515579223633,32.1515007019043,219.89999389648438,239.60000610351562,8.300000190734863,-0.10860614478588104,,,,,,,,,,,,,,,,,,6.0,,,,,0.0,64.0,0.0,,1.0,8410.900390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3485878109,"May 21, 2020, 4:17:36 AM",Hľadanie jog tempa (5:20),Run,Shin splints - oddych do nedele,1635,5.01,,,false,,activities/3485878109.gpx,,,1635.0,1586.0,5013.2001953125,5.400000095367432,3.1609079837799072,58.85619354248047,59.456199645996094,226.8000030517578,284.6000061035156,14.300000190734863,-0.011968403123319149,,,,,,,,,,,,,,,,,,3.0,,,,,0.0,13.0,0.0,,1.0,5133.60009765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3504768813,"May 24, 2020, 2:33:34 PM",Jog,Run,,3401,10.20,,,false,,activities/3504768813.gpx,,,3401.0,3394.0,10202.5,6.0,3.006040096282959,34.8325309753418,35.13249969482422,219.89999389648438,239.5,9.600000381469727,-0.002940455684438348,,,,,,,,,,,,,,,,,,3.0,,,,,0.0,28.0,0.0,,1.0,10262.599609375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3519401392,"May 27, 2020, 11:14:49 AM",Afternoon Run,Run,"",1008,2.48,,,false,,activities/3758092461.gpx.gz,,,1008.0,436.0,2484.0,5.699999809265137,5.697247505187988,14.399999618530273,14.399999618530273,240.8000030517578,247.0,2.0,0.0,,,99.0,94.09767150878906,,,,,,,,,,,,,,9.0,,,,,0.0,21.0,0.0,,1.0,2491.800048828125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3530020588,"May 29, 2020, 10:24:13 AM",Lunch Run,Run,,1428,5.09,192.0,87,false,,activities/3769227779.fit.gz,,,1428.0,1424.0,5089.60009765625,5.400000095367432,3.574157238006592,5.900000095367432,12.300000190734863,215.6999969482422,223.8000030517578,2.200000047683716,-0.12574662268161774,,,94.0,90.45833587646484,,178.59410095214844,,,365.0,,,87.0,,,,,,,,,,,,,0.0,,1.0,5084.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3585874215,"Jun 9, 2020, 3:36:03 AM",Morning Run,Run,,1107,3.56,189.0,50,false,,activities/3828369880.fit.gz,,,1107.0,985.0,3567.39990234375,6.5,3.6217257976531982,46.97999954223633,56.279998779296875,229.10000610351562,284.6000061035156,9.399999618530273,-0.26069405674934387,,,91.0,86.98377227783203,,171.6217041015625,,,237.0,,,50.0,,,,,,,,,,,,,0.0,,1.0,3651.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3591149736,"Jun 10, 2020, 2:45:13 AM",Morning Run,Run,,1577,4.99,189.0,90,false,,activities/3833909153.fit.gz,,,1577.0,1577.0,4998.39990234375,6.800000190734863,3.169562578201294,123.69999694824219,122.5999984741211,238.5,351.5,16.100000381469727,0.022007042542099953,,,98.0,86.68865203857422,,175.24667358398438,,,396.0,,,90.0,,,,,,,,,,,,,0.0,,1.0,5355.89990234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3600995442,"Jun 12, 2020, 3:21:16 AM",Morning Jog,Run,"",1069,3.04,159.0,26,false,,activities/3844283644.fit.gz,,,1069.0,1069.0,3045.199951171875,3.799999952316284,2.8486435413360596,20.068571090698242,19.468599319458008,237.0,255.8000030517578,5.599999904632568,0.01970313861966133,,,87.0,83.7717514038086,,151.67446899414062,,,226.0,,,26.0,,,,,,,,,,,0.0,,0.0,,1.0,3058.699951171875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3605576326,"Jun 13, 2020, 3:09:22 AM",Long Morning Run,Run,"",3584,12.05,191.0,235,false,,activities/3849152138.fit.gz,,,3584.0,3584.0,12049.099609375,4.300000190734863,3.3619141578674316,13.951428413391113,15.251399993896484,214.8000030517578,227.0,3.0999999046325684,-0.010789187625050545,,,93.0,89.2192153930664,,180.83956909179688,,,933.0,,,235.0,,,,,,6.0,,,,,0.0,94.0,0.0,,1.0,12056.599609375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
